"マスタ区分","商品コード","科目","商品名","出版社"
"小学生","560402010001","適性検査","適-グラフ問題特別ゼミ 公立中高一貫校対策","朝日学生新聞社"
"小学生","520001010001","算数","算-レインボウ・Ⅰ（小学知識の総まとめ編） 算数","育伸社"
"小学生","530001010001","国語","国-レインボウ・Ⅰ（小学知識の総まとめ編） 国語","育伸社"
"小学生","540001010001","理科","理-レインボウ・Ⅰ（小学知識の総まとめ編） 理科","育伸社"
"小学生","550001010001","社会","社-レインボウ・Ⅰ（小学知識の総まとめ編） 社会","育伸社"
"小学生","520001020001","算数","算-レインボウ・Ⅱ（適性検査演習編） 算数","育伸社"
"小学生","530001020001","国語","国-レインボウ・Ⅱ（適性検査演習編） 国語","育伸社"
"小学生","540001020001","理科","理-レインボウ・Ⅱ（適性検査演習編） 理科","育伸社"
"小学生","550001020001","社会","社-レインボウ・Ⅱ（適性検査演習編） 社会","育伸社"
"小学生","530001030101","国語","国-ほーぷ 国語 BOOK1","育伸社"
"小学生","530001030201","国語","国-ほーぷ 国語 BOOK2","育伸社"
"小学生","530001030301","国語","国-ほーぷ 国語 BOOK3","育伸社"
"小学生","530001030401","国語","国-ほーぷ 国語 BOOK4","育伸社"
"小学生","530001030501","国語","国-ほーぷ 国語 BOOK5","育伸社"
"小学生","530001030601","国語","国-ほーぷ 国語 BOOK6","育伸社"
"小学生","510002011501","英語","英-ワーク 英語 小5 （東書）","エデュケーショナルネットワーク"
"小学生","510002011601","英語","英-ワーク 英語 小6 （東書）","エデュケーショナルネットワーク"
"小学生","510002012501","英語","英-ワーク 英語 小5 （光村）","エデュケーショナルネットワーク"
"小学生","510002012601","英語","英-ワーク 英語 小6 （光村）","エデュケーショナルネットワーク"
"小学生","520002022101","算数","算-ジュニア新演習 算数 小2 上","エデュケーショナルネットワーク"
"小学生","520002022201","算数","算-ジュニア新演習 算数 小2 下","エデュケーショナルネットワーク"
"小学生","520002023101","算数","算-ジュニア新演習 算数 小3 上","エデュケーショナルネットワーク"
"小学生","520002023201","算数","算-ジュニア新演習 算数 小3 下","エデュケーショナルネットワーク"
"小学生","530002022101","国語","国-ジュニア新演習 国語 小2 上","エデュケーショナルネットワーク"
"小学生","530002022201","国語","国-ジュニア新演習 国語 小2 下","エデュケーショナルネットワーク"
"小学生","530002023101","国語","国-ジュニア新演習 国語 小3 上","エデュケーショナルネットワーク"
"小学生","530002023201","国語","国-ジュニア新演習 国語 小3 下","エデュケーショナルネットワーク"
"小学生","510002030501","英語","英-標準新演習 英語 小5","エデュケーショナルネットワーク"
"小学生","510002030601","英語","英-標準新演習 英語 小6","エデュケーショナルネットワーク"
"小学生","520002030301","算数","算-標準新演習 算数 小3","エデュケーショナルネットワーク"
"小学生","520002030401","算数","算-標準新演習 算数 小4","エデュケーショナルネットワーク"
"小学生","520002030501","算数","算-標準新演習 算数 小5","エデュケーショナルネットワーク"
"小学生","530002030301","国語","国-標準新演習 国語 小3","エデュケーショナルネットワーク"
"小学生","530002030401","国語","国-標準新演習 国語 小4","エデュケーショナルネットワーク"
"小学生","530002030501","国語","国-標準新演習 国語 小5","エデュケーショナルネットワーク"
"小学生","530002030601","国語","国-標準新演習 国語 小6","エデュケーショナルネットワーク"
"小学生","540002030501","理科","理-標準新演習 理科 小5","エデュケーショナルネットワーク"
"小学生","540002030601","理科","理-標準新演習 理科 小6","エデュケーショナルネットワーク"
"小学生","550002030501","社会","社-標準新演習 社会 小5","エデュケーショナルネットワーク"
"小学生","550002030601","社会","社-標準新演習 社会 小6","エデュケーショナルネットワーク"
"小学生","520002054101","算数","算-中学受験新演習 算数 小4 上","エデュケーショナルネットワーク"
"小学生","520002054201","算数","算-中学受験新演習 算数 小4 下","エデュケーショナルネットワーク"
"小学生","520002055101","算数","算-中学受験新演習 算数 小5 上","エデュケーショナルネットワーク"
"小学生","520002055201","算数","算-中学受験新演習 算数 小5 下","エデュケーショナルネットワーク"
"小学生","520002056101","算数","算-中学受験新演習 算数 小6 上","エデュケーショナルネットワーク"
"小学生","520002056201","算数","算-中学受験新演習 算数 小6 下","エデュケーショナルネットワーク"
"小学生","530002054101","国語","国-中学受験新演習 国語 小4 上","エデュケーショナルネットワーク"
"小学生","530002054201","国語","国-中学受験新演習 国語 小4 下","エデュケーショナルネットワーク"
"小学生","530002055101","国語","国-中学受験新演習 国語 小5 上","エデュケーショナルネットワーク"
"小学生","530002055201","国語","国-中学受験新演習 国語 小5 下","エデュケーショナルネットワーク"
"小学生","530002056101","国語","国-中学受験新演習 国語 小6 上","エデュケーショナルネットワーク"
"小学生","530002056201","国語","国-中学受験新演習 国語 小6 下","エデュケーショナルネットワーク"
"小学生","540002054101","理科","理-中学受験新演習 理科 小4 上","エデュケーショナルネットワーク"
"小学生","540002054201","理科","理-中学受験新演習 理科 小4 下","エデュケーショナルネットワーク"
